Sample,Category,Length,Count
MVs-G3,GFP_wPT,22,7258
MVs-G3,GFP_wPT,23,6643
MVs-G3,GFP_wPT,24,3569
MVs-G3,GFP_wPT,25,4079
MVs-G3,GFP_wPT,26,2236
MVs-G3,GFP_wPT,27,2002
MVs-G3,GFP_wPT,28,2140
MVs-G3,GFP_wPT,29,1205
MVs-G3,GFP_wPT,30,1133
MVs-G3,GFP_wPT,31,633
MVs-G3,GFP_wPT,32,428
MVs-G3,GFP_wPT,33,319
MVs-G3,GFP_wPT,34,191
MVs-G3,GFP_wPT,35,93
MVs-G3,GFP_wPT,36,52
MVs-G3,GFP_wPT,37,38
MVs-G3,GFP_wPT,38,23
MVs-G3,GFP_wPT,39,10
MVs-G3,GFP_wPT,40,17
MVs-G3,GFP_wPT,41,9
MVs-G3,GFP_wPT,42,3
MVs-G3,GFP_wPT,43,1
MVs-G3,GFP_wPT,44,1
MVs-G3,GFP_wPT,45,1
MVs-G3,pDS-noGFPw,15,313
MVs-G3,pDS-noGFPw,16,398
MVs-G3,pDS-noGFPw,17,752
MVs-G3,pDS-noGFPw,18,1016
MVs-G3,pDS-noGFPw,19,1223
MVs-G3,pDS-noGFPw,20,1360
MVs-G3,pDS-noGFPw,21,1536
MVs-G3,pDS-noGFPw,22,1282
MVs-G3,pDS-noGFPw,23,1066
MVs-G3,pDS-noGFPw,24,923
MVs-G3,pDS-noGFPw,25,687
MVs-G3,pDS-noGFPw,26,595
MVs-G3,pDS-noGFPw,27,586
MVs-G3,pDS-noGFPw,28,450
MVs-G3,pDS-noGFPw,29,469
MVs-G3,pDS-noGFPw,30,357
MVs-G3,pDS-noGFPw,31,215
MVs-G3,pDS-noGFPw,32,168
MVs-G3,pDS-noGFPw,33,93
MVs-G3,pDS-noGFPw,34,66
MVs-G3,pDS-noGFPw,35,30
MVs-G3,pDS-noGFPw,36,17
MVs-G3,pDS-noGFPw,37,13
MVs-G3,pDS-noGFPw,38,12
MVs-G3,pDS-noGFPw,39,12
MVs-G3,pDS-noGFPw,40,6
MVs-G3,pDS-noGFPw,41,2
